,O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
964,11-3021.00,Computer and Information Systems Managers,QUALCOMM Eudora,43233501,Electronic mail software,N
965,11-3021.00,Computer and Information Systems Managers,R,43232405,Object or component oriented development software,Y
966,11-3021.00,Computer and Information Systems Managers,Red Hat Enterprise Linux,43233004,Operating system software,Y
967,11-3021.00,Computer and Information Systems Managers,Red Hat WildFly,43232701,Application server software,Y
968,11-3021.00,Computer and Information Systems Managers,Relational database management software,43232304,Data base management system software,Y
969,11-3021.00,Computer and Information Systems Managers,Ruby on Rails,43232408,Web platform development software,Y
970,11-3021.00,Computer and Information Systems Managers,Samba,43233001,Filesystem software,N
971,11-3021.00,Computer and Information Systems Managers,SAP,43231602,Enterprise resource planning ERP software,Y
972,11-3021.00,Computer and Information Systems Managers,SAP Business Objects,43231602,Enterprise resource planning ERP software,Y
973,11-3021.00,Computer and Information Systems Managers,SAP Crystal Reports,43232305,Data base reporting software,Y
974,11-3021.00,Computer and Information Systems Managers,SAS,43232605,Analytical or scientific software,Y
975,11-3021.00,Computer and Information Systems Managers,Shell script,43233004,Operating system software,Y
976,11-3021.00,Computer and Information Systems Managers,SolarWinds,43232804,Administration software,N
977,11-3021.00,Computer and Information Systems Managers,SOX COBIT,43232606,Compliance software,N
978,11-3021.00,Computer and Information Systems Managers,Splunk Enterprise,43233701,Enterprise system management software,Y
979,11-3021.00,Computer and Information Systems Managers,Spring Framework,43232408,Web platform development software,Y
980,11-3021.00,Computer and Information Systems Managers,StataCorp Stata,43232605,Analytical or scientific software,N
981,11-3021.00,Computer and Information Systems Managers,Structured query language SQL,43232306,Data base user interface and query software,Y
982,11-3021.00,Computer and Information Systems Managers,Symantec,43233205,Transaction security and virus protection software,Y
983,11-3021.00,Computer and Information Systems Managers,Symantec Veritas File System,43233001,Filesystem software,N
984,11-3021.00,Computer and Information Systems Managers,Symantec Veritas Volume Manager,43233001,Filesystem software,N
985,11-3021.00,Computer and Information Systems Managers,Tableau,43232314,Business intelligence and data analysis software,Y
986,11-3021.00,Computer and Information Systems Managers,Tax software,43231601,Accounting software,N
987,11-3021.00,Computer and Information Systems Managers,Telnet programs software,43232911,Network connectivity terminal emulation software,N
988,11-3021.00,Computer and Information Systems Managers,Teradata Database,43232304,Data base management system software,Y
989,11-3021.00,Computer and Information Systems Managers,The MathWorks MATLAB,43232605,Analytical or scientific software,Y
990,11-3021.00,Computer and Information Systems Managers,TKSoftware,43232404,Graphical user interface development software,N
991,11-3021.00,Computer and Information Systems Managers,Unified modeling language UML,43232407,Requirements analysis and system architecture software,Y
992,11-3021.00,Computer and Information Systems Managers,UNIX,43233004,Operating system software,Y
993,11-3021.00,Computer and Information Systems Managers,Veritas NetBackup,43233415,Backup or archival software,N
994,11-3021.00,Computer and Information Systems Managers,Virtual private networking VPN software,43233204,Network security and virtual private network VPN equipment software,Y
995,11-3021.00,Computer and Information Systems Managers,VMWare,43232401,Configuration management software,Y
996,11-3021.00,Computer and Information Systems Managers,Zephyr EXTRA! Terminal Emulation,43232911,Network connectivity terminal emulation software,N
1191,11-3051.01,Quality Control Systems Managers,Abbot Informatics STARLIMS,43232605,Analytical or scientific software,N
1192,11-3051.01,Quality Control Systems Managers,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
1193,11-3051.01,Quality Control Systems Managers,ASI DATAMYTE GageMetrics,43232608,Industrial control software,N
1194,11-3051.01,Quality Control Systems Managers,ASI DATAMYTE QDA,43232608,Industrial control software,N
1195,11-3051.01,Quality Control Systems Managers,ASIDATAMYTE DataMetrics,43232608,Industrial control software,N
1196,11-3051.01,Quality Control Systems Managers,Atlassian JIRA,43232201,Content workflow software,Y
1197,11-3051.01,Quality Control Systems Managers,CAMA Software Quality Collaboration By Design QCBD,43232608,Industrial control software,N
1198,11-3051.01,Quality Control Systems Managers,CEBOS MQ1 software,43232608,Industrial control software,N
1199,11-3051.01,Quality Control Systems Managers,Computing Solutions LabSoft LIMS,43232605,Analytical or scientific software,N
1200,11-3051.01,Quality Control Systems Managers,Core Informatics Laboratory Information Management System LIMS,43232605,Analytical or scientific software,N
1201,11-3051.01,Quality Control Systems Managers,Data entry software,43232306,Data base user interface and query software,Y
1202,11-3051.01,Quality Control Systems Managers,Eko,43232702,Desktop communications software,N
1203,11-3051.01,Quality Control Systems Managers,EtQ Reliance,43232606,Compliance software,N
1204,11-3051.01,Quality Control Systems Managers,Extensible markup language XML,43232403,Enterprise application integration software,Y
1205,11-3051.01,Quality Control Systems Managers,Harrington Group caWeb,43232306,Data base user interface and query software,N
1206,11-3051.01,Quality Control Systems Managers,Harrington Group HQMS,43232608,Industrial control software,N
1207,11-3051.01,Quality Control Systems Managers,Hewlett Packard LoadRunner,43232406,Program testing software,N
1208,11-3051.01,Quality Control Systems Managers,Illumina Laboratory Information Management System LIMS,43232605,Analytical or scientific software,N
1209,11-3051.01,Quality Control Systems Managers,Infinity QS ProFicient,43232608,Industrial control software,N
1210,11-3051.01,Quality Control Systems Managers,Lablite Laboratory Information Management Systems LIMS,43232605,Analytical or scientific software,N
1211,11-3051.01,Quality Control Systems Managers,Laboratory Automated Quality Control Systems LAQC,43232608,Industrial control software,N
1212,11-3051.01,Quality Control Systems Managers,Labvantage Solutions LIMS,43232605,Analytical or scientific software,N
1213,11-3051.01,Quality Control Systems Managers,Linux,43233004,Operating system software,Y
1214,11-3051.01,Quality Control Systems Managers,MasterControl software,43232606,Compliance software,N
1215,11-3051.01,Quality Control Systems Managers,Microsoft Access,43232306,Data base user interface and query software,Y
1216,11-3051.01,Quality Control Systems Managers,Microsoft Excel,43232110,Spreadsheet software,Y
1217,11-3051.01,Quality Control Systems Managers,Microsoft Office,43231513,Office suite software,Y
1218,11-3051.01,Quality Control Systems Managers,Microsoft Outlook,43233501,Electronic mail software,Y
1219,11-3051.01,Quality Control Systems Managers,Microsoft PowerPoint,43232106,Presentation software,Y
1220,11-3051.01,Quality Control Systems Managers,Microsoft Project,43231507,Project management software,Y
1221,11-3051.01,Quality Control Systems Managers,Microsoft SQL Server,43232306,Data base user interface and query software,Y
1222,11-3051.01,Quality Control Systems Managers,Microsoft Visio,43232102,Graphics or photo imaging software,Y
1223,11-3051.01,Quality Control Systems Managers,Microsoft Word,43232104,Word processing software,Y
1224,11-3051.01,Quality Control Systems Managers,Minitab,43232605,Analytical or scientific software,Y
1225,11-3051.01,Quality Control Systems Managers,Oracle Java,43232405,Object or component oriented development software,Y
1226,11-3051.01,Quality Control Systems Managers,Pearson Education PHStat2,43232605,Analytical or scientific software,N
1227,11-3051.01,Quality Control Systems Managers,PQ Systems CHARTrunner Lean,43232608,Industrial control software,N
1228,11-3051.01,Quality Control Systems Managers,PQ Systems GAGEpack,43232608,Industrial control software,N
1229,11-3051.01,Quality Control Systems Managers,PQ Systems MEASUREspy,43232608,Industrial control software,N
1230,11-3051.01,Quality Control Systems Managers,PQ Systems SQCpack,43232605,Analytical or scientific software,N
1231,11-3051.01,Quality Control Systems Managers,Promium Element DataSystem LIMS,43232605,Analytical or scientific software,N
1232,11-3051.01,Quality Control Systems Managers,Quality Systems International WinLIMS,43232605,Analytical or scientific software,N
1233,11-3051.01,Quality Control Systems Managers,SAP,43231602,Enterprise resource planning ERP software,Y
1234,11-3051.01,Quality Control Systems Managers,Selenium,43232406,Program testing software,Y
1235,11-3051.01,Quality Control Systems Managers,Sparta Systems TrackWise,43232606,Compliance software,N
1236,11-3051.01,Quality Control Systems Managers,Statgraphics,43232605,Analytical or scientific software,N
1237,11-3051.01,Quality Control Systems Managers,Structured query language SQL,43232306,Data base user interface and query software,Y
1238,11-3051.01,Quality Control Systems Managers,Systat Software Lisa.lims,43232605,Analytical or scientific software,N
1239,11-3051.01,Quality Control Systems Managers,Thermo Fisher Scientific Laboratory Information Management Systems LIMS,43232605,Analytical or scientific software,N
1240,11-3051.01,Quality Control Systems Managers,Vivaldi Software Vivaldi Quality Management,43232608,Industrial control software,N
1241,11-3051.01,Quality Control Systems Managers,Web browser software,43232705,Internet browser software,N
4730,13-1199.07,Security Management Specialists,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
4731,13-1199.07,Security Management Specialists,ArcSight Enterprise Threat and Risk Management,43233701,Enterprise system management software,N
4732,13-1199.07,Security Management Specialists,Chinotec Technologies Paros,43233205,Transaction security and virus protection software,N
4733,13-1199.07,Security Management Specialists,Cisco Systems CiscoWorks,43232804,Administration software,N
4734,13-1199.07,Security Management Specialists,Customer information control system CICS,43232313,Transaction server software,N
4735,13-1199.07,Security Management Specialists,Database software,43232306,Data base user interface and query software,N
4736,13-1199.07,Security Management Specialists,Firewall software,43233204,Network security and virtual private network VPN equipment software,N
4737,13-1199.07,Security Management Specialists,Intrusion prevention system IPS,43233203,Network security or virtual private network VPN management software,N
4738,13-1199.07,Security Management Specialists,Kismet,43233204,Network security and virtual private network VPN equipment software,N
4739,13-1199.07,Security Management Specialists,Linux,43233004,Operating system software,Y
4740,13-1199.07,Security Management Specialists,McAfee,43233205,Transaction security and virus protection software,N
4741,13-1199.07,Security Management Specialists,Metasploit,43233205,Transaction security and virus protection software,N
4742,13-1199.07,Security Management Specialists,Microsoft Excel,43232110,Spreadsheet software,Y
4743,13-1199.07,Security Management Specialists,Microsoft Office,43231513,Office suite software,Y
4744,13-1199.07,Security Management Specialists,Microsoft PowerPoint,43232106,Presentation software,Y
4745,13-1199.07,Security Management Specialists,Microsoft SharePoint,43231507,Project management software,Y
4746,13-1199.07,Security Management Specialists,Microsoft Visio,43232102,Graphics or photo imaging software,Y
4747,13-1199.07,Security Management Specialists,Microsoft Windows,43233004,Operating system software,Y
4748,13-1199.07,Security Management Specialists,Microsoft Word,43232104,Word processing software,Y
4749,13-1199.07,Security Management Specialists,Nessus,43233205,Transaction security and virus protection software,N
4750,13-1199.07,Security Management Specialists,Nmap,43233205,Transaction security and virus protection software,N
4751,13-1199.07,Security Management Specialists,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis software,Y
4752,13-1199.07,Security Management Specialists,Photo editing software,43232102,Graphics or photo imaging software,N
4753,13-1199.07,Security Management Specialists,Physical access management software,43232603,Facilities management software,N
4754,13-1199.07,Security Management Specialists,SAP,43231602,Enterprise resource planning ERP software,Y
4755,13-1199.07,Security Management Specialists,SAP Crystal Reports,43232305,Data base reporting software,Y
4756,13-1199.07,Security Management Specialists,Secure web gateway software,43232912,Gateway software,N
4757,13-1199.07,Security Management Specialists,Social networking software,43232107,Web page creation and editing software,N
4758,13-1199.07,Security Management Specialists,Splunk Enterprise,43233701,Enterprise system management software,Y
4759,13-1199.07,Security Management Specialists,Symantec,43233205,Transaction security and virus protection software,Y
4760,13-1199.07,Security Management Specialists,Symantec PGP,43233204,Network security and virtual private network VPN equipment software,N
4761,13-1199.07,Security Management Specialists,Tivoli,43232901,Access software,N
4762,13-1199.07,Security Management Specialists,TrueCrypt,43233204,Network security and virtual private network VPN equipment software,N
4763,13-1199.07,Security Management Specialists,Videoconferencing software,43233502,Video conferencing software,N
4764,13-1199.07,Security Management Specialists,Virtual private networking VPN software,43233204,Network security and virtual private network VPN equipment software,Y
4765,13-1199.07,Security Management Specialists,Web browser software,43232705,Internet browser software,N
5903,15-1211.00,Computer Systems Analysts,3M Post-it App,43232104,Word processing software,N
5904,15-1211.00,Computer Systems Analysts,Access management software,43232901,Access software,N
5905,15-1211.00,Computer Systems Analysts,AcmeStudio,43232407,Requirements analysis and system architecture software,N
5906,15-1211.00,Computer Systems Analysts,Active directory software,43232704,Internet directory services software,N
5907,15-1211.00,Computer Systems Analysts,Ada,43232402,Development environment software,N
5908,15-1211.00,Computer Systems Analysts,Adobe ColdFusion,43232408,Web platform development software,N
5909,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Acrobat,43232202,Document management software,Y
5910,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe ActionScript,43232402,Development environment software,N
5911,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Dreamweaver,43232107,Web page creation and editing software,N
5912,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Fireworks,43232102,Graphics or photo imaging software,N
5913,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Flash,43232102,Graphics or photo imaging software,N
5914,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Flex,43232408,Web platform development software,N
5915,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Illustrator,43232102,Graphics or photo imaging software,Y
5916,15-1211.00,Computer Systems Analysts,Adobe Systems Adobe Photoshop,43232102,Graphics or photo imaging software,Y
5917,15-1211.00,Computer Systems Analysts,ADP Workforce Now,43231505,Human resources software,Y
5918,15-1211.00,Computer Systems Analysts,Advanced business application programming ABAP,43232405,Object or component oriented development software,Y
5919,15-1211.00,Computer Systems Analysts,AJAX,43232408,Web platform development software,Y
5920,15-1211.00,Computer Systems Analysts,Amazon DynamoDB,43232304,Data base management system software,Y
5921,15-1211.00,Computer Systems Analysts,Amazon Elastic Compute Cloud EC2,43232306,Data base user interface and query software,Y
5922,15-1211.00,Computer Systems Analysts,Amazon Redshift,43232306,Data base user interface and query software,Y
5923,15-1211.00,Computer Systems Analysts,Amazon Simple Storage Service S3,43232907,Storage networking software,Y
5924,15-1211.00,Computer Systems Analysts,Amazon Web Services AWS CloudFormation,43232915,Platform interconnectivity software,Y
5925,15-1211.00,Computer Systems Analysts,Amazon Web Services AWS software,43232306,Data base user interface and query software,Y
5926,15-1211.00,Computer Systems Analysts,Ansible software,43231511,Expert system software,Y
5927,15-1211.00,Computer Systems Analysts,Apache Ant,43232402,Development environment software,Y
5928,15-1211.00,Computer Systems Analysts,Apache Cassandra,43232304,Data base management system software,Y
5929,15-1211.00,Computer Systems Analysts,Apache Groovy,43232405,Object or component oriented development software,Y
